,train
0,"[174, 3553, 5414, 842, 4718, 4293, 470, 5613, 463, 1713, 9325, 4718, 1831, 437, 6870, 1633, 987, 1015, 2666, 318, 1160, 2171, 980, 5763, 1060, 191, 407, 438, 7393, 1314, 926, 841, 775, 182, 800, 4413, 859, 3106, 372, 197, 1884, 7083, 3743, 711, 330, 1519, 471, 646, 318, 9094, 1549, 353, 1058, 4275, 711, 1830, 4972, 1633, 8497, 3913, 3553, 5564, 5414, 842, 224, 1058, 407, 1124, 226, 1058, 7538, 1830, 4972, 1633, 8497, 50, 621]"
1,"[1445, 7325, 35, 8563, 30, 2606, 4861, 3468, 770, 156, 2128, 47, 1451, 30, 2606, 852, 2154, 356, 877, 7935, 6081, 2539, 4432, 877, 2056, 5492, 1639, 2912, 1598, 1000, 2670, 639, 4323, 5167, 2115, 1504, 4563, 828, 33, 9815, 2891, 9861, 3287, 7196, 6598, 28, 900, 1622, 685, 7512, 5546, 30, 2442, 2034, 218, 707, 28, 639, 3190, 1823, 2277, 9757, 554, 6085, 5731, 5317, 8563, 33, 280, 1000, 2627, 1735, 1540, 218, 1061, 8217, 1823, 2277, 9757, 1484]"
2,"[1445, 5643, 2714, 8565, 30, 2608, 4860, 3470, 772, 158, 1991, 47, 2203, 2608, 853, 2153, 358, 879, 7556, 6083, 2541, 4549, 879, 2069, 5490, 1641, 2714, 1600, 1002, 2669, 637, 4325, 5169, 2117, 1516, 4458, 830, 33, 9817, 2893, 28, 631, 3289, 7195, 6599, 28, 896, 1623, 687, 7511, 5547, 30, 2598, 2035, 220, 709, 28, 637, 3133, 1827, 2276, 9759, 556, 5008, 2179, 1641, 5319, 8565, 33, 282, 1002, 2504, 1808, 1542, 220, 1063, 9762, 1827, 2276, 9759, 1486]"
3,"[174, 3554, 5486, 860, 4755, 5775, 857, 5849, 611, 1776, 35, 616, 4755, 1944, 497, 7170, 5936, 1108, 1022, 2736, 634, 7433, 839, 2574, 224, 1223, 439, 5093, 410, 441, 6861, 1312, 1870, 873, 774, 305, 808, 7148, 891, 3097, 1184, 1750, 366, 9093, 3744, 2320, 802, 973, 470, 9107, 973, 468, 4142, 750, 1060, 5379, 2320, 3973, 7107, 5936, 9060, 6110, 3554, 5565, 5486, 860, 548, 1060, 410, 1148, 609, 1060, 8296, 3973, 7107, 5936, 9060, 38, 621]"
4,"[174, 3552, 5411, 843, 4158, 4383, 471, 197, 6948, 1714, 9340, 4158, 1877, 442, 6868, 1022, 988, 1070, 2668, 288, 1180, 3538, 979, 7951, 1058, 206, 436, 498, 6535, 1315, 925, 844, 776, 183, 801, 4411, 899, 3109, 275, 203, 1656, 7041, 3745, 467, 273, 1522, 636, 8910, 8561, 1085, 306, 1098, 4279, 467, 2085, 4841, 1022, 8498, 3916, 3552, 5566, 5411, 843, 195, 1098, 436, 1164, 192, 1098, 7540, 2085, 4841, 1022, 8498, 62, 621]"
5,"[174, 3547, 5155, 851, 3699, 815, 636, 1861, 622, 1956, 9348, 3699, 871, 612, 6863, 1015, 1263, 1482, 2708, 5239, 2204, 999, 6521, 194, 2538, 143, 929, 4539, 1368, 206, 666, 150, 81, 151, 223, 80, 151, 4412, 1249, 3111, 278, 1459, 547, 407, 319, 3738, 8906, 647, 690, 449, 302, 8980, 1086, 4277, 266, 209, 292, 448, 196, 9210, 8514, 1263, 4086, 3547, 5557, 5155, 851, 57, 187, 266, 2719, 1863, 1954, 266, 209, 469, 196, 9210, 8514, 1263, 74, 621]"
6,"[1445, 7326, 35, 8564, 30, 2607, 4862, 3469, 771, 157, 2126, 47, 1457, 30, 2607, 854, 2155, 357, 878, 7936, 6082, 2540, 4433, 878, 2068, 5494, 1640, 2913, 1599, 1001, 2671, 641, 4324, 5168, 2116, 1515, 4565, 829, 33, 9816, 2892, 9862, 3288, 7197, 6600, 28, 901, 1624, 686, 7513, 5548, 30, 2599, 2036, 219, 708, 28, 641, 3191, 1825, 2278, 9758, 555, 6086, 5732, 5318, 8564, 33, 281, 1001, 2466, 1809, 1541, 219, 1062, 8218, 1825, 2278, 9758, 1485]"
7,"[1445, 7327, 35, 8566, 30, 2609, 4863, 3472, 773, 159, 2127, 47, 1458, 30, 2609, 855, 2156, 359, 880, 7937, 6084, 2542, 4434, 880, 2070, 5496, 1642, 2914, 1601, 1003, 2672, 643, 4326, 5170, 2118, 1517, 4568, 831, 33, 9818, 2894, 9863, 3290, 7198, 6601, 28, 902, 1625, 688, 7514, 5549, 30, 2600, 2037, 221, 710, 28, 643, 3192, 1829, 2279, 9760, 557, 6087, 5733, 5320, 8566, 33, 283, 1003, 2467, 1810, 1543, 221, 1064, 8219, 1829, 2279, 9760, 1487]"
8,"[174, 5012, 5012, 5147, 5446, 1884, 273, 1234, 279, 7104, 467, 9617, 5649, 4404, 898, 2909, 275, 7407, 472, 5758, 2217, 805, 190, 6180, 5617, 272, 278, 2217, 435, 295, 1086, 2031, 5200, 278, 2052, 1929, 305, 4176, 437, 5880, 3106, 318, 2733, 5499, 2733, 6497, 1927, 196, 367, 8013, 2106, 314, 1066, 5349, 289, 845, 9501, 5012, 7498, 2373, 1946, 4285, 775, 7750, 720, 9979, 2305, 1234, 4709, 183, 421, 410, 6105, 6077, 6909]"
9,"[174, 8153, 1027, 1194, 199, 768, 922, 449, 314, 431, 295, 1133, 429, 1122, 4892, 321, 7434, 566, 3172, 8793, 461, 190, 192, 191, 1473, 4424, 396, 2855, 694, 353, 2855, 4981, 1500, 499, 1367, 2071, 4464, 4180, 2926, 204, 429, 3945, 4776, 694, 8667, 3668, 5117, 289, 204, 397, 3334, 986, 7314, 458, 318, 4299, 293, 306, 1425, 6816, 495, 2290, 4274, 404, 197, 430, 7899, 276, 9963, 210, 9037, 323, 6814, 5130, 1299, 2316, 4047, 7470, 2561, 499, 395, 1123, 1004, 317, 3661, 1112, 306, 3969, 9667, 441, 2573, 188, 172]"
